0.742,-0.594,0.180
0.682,-0.599,0.185
0.695,-0.598,0.121
0.687,-0.599,0.234
0.751,-0.596,0.168
0.683,-0.599,0.182
0.748,-0.596,0.176
0.681,-0.598,0.181
0.623,-0.599,0.151
0.689,-0.598,0.232
0.744,-0.595,0.175
0.682,-0.599,0.183
0.681,-0.599,0.221
0.742,-0.596,0.162
0.682,-0.599,0.165
0.698,-0.613,0.155
0.637,-0.615,0.151
0.679,-0.612,0.223
6.859,-8.970,0.182
6.175,-2.558,0.203
6.201,-2.580,0.098
6.253,-2.570,0.153
6.198,-2.581,0.191
6.112,-2.733,0.189
6.056,-2.743,0.178
6.085,-2.737,0.080
0.156,-1.378,0.227
0.188,-1.381,0.131
0.134,-1.395,0.151
0.193,-1.389,0.195
0.179,-1.369,0.200
0.164,-1.398,0.132
0.101,-1.406,0.171
0.155,-1.399,0.229
0.172,-1.367,0.239
0.194,-1.366,0.111
0.182,-1.369,0.198
